Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2016-09-21;801.26;805.91;796.03;805.03;1348476.0;0.0;1.0;801.26;805.91;796.03;805.03;1348476.0
2016-09-22;810.0;819.06;807.71;815.95;1759290.0;0.0;1.0;810.0;819.06;807.71;815.95;1759290.0
2016-09-23;815.14;817.0;812.73;814.96;1411673.0;0.0;1.0;815.14;817.0;812.73;814.96;1411673.0
2016-09-26;809.82;810.08;800.45;802.65;1472732.0;0.0;1.0;809.82;810.08;800.45;802.65;1472732.0
2016-09-27;801.83;813.49;801.83;810.73;1367271.0;0.0;1.0;801.83;813.49;801.83;810.73;1367271.0
2016-09-28;804.08;810.25;802.7803;810.06;1470280.0;0.0;1.0;804.08;810.25;802.7803;810.06;1470280.0
2016-09-29;807.23;813.91;800.855;802.64;1349974.0;0.0;1.0;807.23;813.91;800.855;802.64;1349974.0
2016-09-30;803.6;808.09;801.5;804.06;1660201.0;0.0;1.0;803.6;808.09;801.5;804.06;1660201.0
2016-10-03;802.55;803.54;796.23;800.38;1489212.0;0.0;1.0;802.55;803.54;796.23;800.38;1489212.0
2016-10-04;805.0;806.5;799.67;802.79;1258706.0;0.0;1.0;805.0;806.5;799.67;802.79;1258706.0
2016-10-05;806.0;808.5;800.71;801.23;1213820.0;0.0;1.0;806.0;808.5;800.71;801.23;1213820.0
2016-10-06;804.08;806.945;800.51;803.08;1099909.0;0.0;1.0;804.08;806.945;800.51;803.08;1099909.0
2016-10-07;805.93;805.94;796.82;800.71;1163899.0;0.0;1.0;805.93;805.94;796.82;800.71;1163899.0
2016-10-10;803.93;817.38;802.24;814.17;1496115.0;0.0;1.0;803.93;817.38;802.24;814.17;1496115.0
2016-10-11;814.17;819.86;807.37;809.57;1721575.0;0.0;1.0;814.17;819.86;807.37;809.57;1721575.0
2016-10-12;811.96;814.5;808.5545;811.77;907876.0;0.0;1.0;811.96;814.5;808.5545;811.77;907876.0
2016-10-13;806.07;806.56;798.62;804.08;1368981.0;0.0;1.0;806.07;806.56;798.62;804.08;1368981.0
2016-10-14;807.45;810.09;802.32;804.6;1111934.0;0.0;1.0;807.45;810.09;802.32;804.6;1111934.0
2016-10-17;805.99;813.49;803.83;806.84;1056367.0;0.0;1.0;805.99;813.49;803.83;806.84;1056367.0
2016-10-18;814.21;828.81;813.33;821.49;2289265.0;0.0;1.0;814.21;828.81;813.33;821.49;2289265.0
2016-10-19;824.52;829.81;823.205;827.09;1500142.0;0.0;1.0;824.52;829.81;823.205;827.09;1500142.0
2016-10-20;827.56;828.465;820.55;821.63;1393870.0;0.0;1.0;827.56;828.465;820.55;821.63;1393870.0
2016-10-21;820.0;824.29;818.31;824.06;1615814.0;0.0;1.0;820.0;824.29;818.31;824.06;1615814.0
2016-10-24;830.09;837.94;829.04;835.74;1447616.0;0.0;1.0;830.09;837.94;829.04;835.74;1447616.0
2016-10-25;838.5;838.5;825.3005;828.55;1890712.0;0.0;1.0;838.5;838.5;825.3005;828.55;1890712.0
2016-10-26;827.12;827.71;816.35;822.1;1794868.0;0.0;1.0;827.12;827.71;816.35;822.1;1794868.0
2016-10-27;823.01;826.58;814.61;817.35;2973486.0;0.0;1.0;823.01;826.58;814.61;817.35;2973486.0
2016-10-28;829.94;839.0;817.0;819.56;4354884.0;0.0;1.0;829.94;839.0;817.0;819.56;4354884.0
2016-10-31;822.43;822.63;808.0;809.9;2242679.0;0.0;1.0;822.43;822.63;808.0;809.9;2242679.0
2016-11-01;810.87;813.96;798.26;805.48;2355890.0;0.0;1.0;810.87;813.96;798.26;805.48;2355890.0
2016-11-02;806.76;806.76;785.0;788.42;2350736.0;0.0;1.0;806.76;806.76;785.0;788.42;2350736.0
2016-11-03;784.5;790.0;778.63;782.19;2175216.0;0.0;1.0;784.5;790.0;778.63;782.19;2175216.0
2016-11-04;771.3;788.48;771.0043;781.1;1970603.0;0.0;1.0;771.3;788.48;771.0043;781.1;1970603.0
2016-11-07;794.95;805.0;792.9;802.03;1992570.0;0.0;1.0;794.95;805.0;792.9;802.03;1992570.0
2016-11-08;802.03;816.04;799.62;811.98;1769069.0;0.0;1.0;802.03;816.04;799.62;811.98;1769069.0
2016-11-09;801.83;811.71;792.035;805.59;3098510.0;0.0;1.0;801.83;811.71;792.035;805.59;3098510.0
2016-11-10;810.0;810.06;768.23;780.29;5909609.0;0.0;1.0;810.0;810.06;768.23;780.29;5909609.0
2016-11-11;776.81;777.29;765.54;771.75;3592641.0;0.0;1.0;776.81;777.29;765.54;771.75;3592641.0
2016-11-14;771.76;771.78;743.59;753.22;3688274.0;0.0;1.0;771.76;771.78;743.59;753.22;3688274.0
2016-11-15;765.47;780.2376;765.22;775.16;2943889.0;0.0;1.0;765.47;780.2376;765.22;775.16;2943889.0
2016-11-16;781.84;783.5;766.33;779.98;1798360.0;0.0;1.0;781.84;783.5;766.33;779.98;1798360.0
2016-11-17;782.5;788.9;779.85;786.16;1533679.0;0.0;1.0;782.5;788.9;779.85;786.16;1533679.0
2016-11-18;787.17;791.29;775.35;775.97;1806264.0;0.0;1.0;787.17;791.29;775.35;775.97;1806264.0
2016-11-21;778.1;786.55;776.3;784.8;1630835.0;0.0;1.0;778.1;786.55;776.3;784.8;1630835.0
2016-11-22;788.99;793.77;783.74;785.0;1394174.0;0.0;1.0;788.99;793.77;783.74;785.0;1394174.0
2016-11-23;789.52;789.52;772.65;779.0;1312981.0;0.0;1.0;789.52;789.52;772.65;779.0;1312981.0
2016-11-25;782.61;782.9;778.19;780.23;613549.0;0.0;1.0;782.61;782.9;778.19;780.23;613549.0
2016-11-28;778.35;799.74;778.1;785.79;2575432.0;0.0;1.0;778.35;799.74;778.1;785.79;2575432.0
2016-11-29;788.38;796.44;785.34;789.44;1561981.0;0.0;1.0;788.38;796.44;785.34;789.44;1561981.0
2016-11-30;789.1;791.51;773.145;775.88;2279054.0;0.0;1.0;789.1;791.51;773.145;775.88;2279054.0
2016-12-01;778.55;778.6;753.36;764.33;2867074.0;0.0;1.0;778.55;778.6;753.36;764.33;2867074.0
2016-12-02;761.9;770.5;759.0;764.46;1718846.0;0.0;1.0;761.9;770.5;759.0;764.46;1718846.0
2016-12-05;770.0;780.0;766.9686;778.22;1688473.0;0.0;1.0;770.0;780.0;766.9686;778.22;1688473.0
2016-12-06;780.19;785.28;773.32;776.18;1734099.0;0.0;1.0;780.19;785.28;773.32;776.18;1734099.0
2016-12-07;779.95;792.0;773.53;791.47;2029415.0;0.0;1.0;779.95;792.0;773.53;791.47;2029415.0
2016-12-08;792.95;799.0;787.905;795.17;1612531.0;0.0;1.0;792.95;799.0;787.905;795.17;1612531.0
2016-12-09;799.3;809.95;798.05;809.45;1904463.0;0.0;1.0;799.3;809.95;798.05;809.45;1904463.0
2016-12-12;804.82;811.35;804.5311;807.9;1628602.0;0.0;1.0;804.82;811.35;804.5311;807.9;1628602.0
2016-12-13;812.39;824.3;811.94;815.34;2128210.0;0.0;1.0;812.39;824.3;811.94;815.34;2128210.0
2016-12-14;815.92;824.26;812.78;817.89;1799654.0;0.0;1.0;815.92;824.26;812.78;817.89;1799654.0
2016-12-15;817.36;823.0;812.0;815.65;1769719.0;0.0;1.0;817.36;823.0;812.0;815.65;1769719.0
2016-12-16;818.31;819.2;808.12;809.84;2598866.0;0.0;1.0;818.31;819.2;808.12;809.84;2598866.0
2016-12-19;809.28;816.22;804.5;812.5;1263581.0;0.0;1.0;809.28;816.22;804.5;812.5;1263581.0
2016-12-20;813.37;816.49;811.0;815.2;1271883.0;0.0;1.0;813.37;816.49;811.0;815.2;1271883.0
2016-12-21;815.72;815.72;805.1;812.2;1459628.0;0.0;1.0;815.72;815.72;805.1;812.2;1459628.0
2016-12-22;809.1;811.07;806.03;809.68;1132119.0;0.0;1.0;809.1;811.07;806.03;809.68;1132119.0
2016-12-23;808.01;810.9696;805.11;807.8;765537.0;0.0;1.0;808.01;810.9696;805.11;807.8;765537.0
2016-12-27;808.68;816.0;805.8;809.93;975962.0;0.0;1.0;808.68;816.0;805.8;809.93;975962.0
2016-12-28;813.33;813.33;802.44;804.57;1214756.0;0.0;1.0;813.33;813.33;802.44;804.57;1214756.0
2016-12-29;802.33;805.75;798.144;802.88;1057392.0;0.0;1.0;802.33;805.75;798.144;802.88;1057392.0
2016-12-30;803.21;803.285;789.62;792.45;1735879.0;0.0;1.0;803.21;803.285;789.62;792.45;1735879.0
2017-01-03;800.62;811.435;796.89;808.01;1959033.0;0.0;1.0;800.62;811.435;796.89;808.01;1959033.0
2017-01-04;809.89;813.43;804.11;807.77;1515339.0;0.0;1.0;809.89;813.43;804.11;807.77;1515339.0
2017-01-05;807.5;813.74;805.92;813.02;1340535.0;0.0;1.0;807.5;813.74;805.92;813.02;1340535.0
2017-01-06;814.99;828.96;811.5;825.21;2017097.0;0.0;1.0;814.99;828.96;811.5;825.21;2017097.0
2017-01-09;826.37;830.43;821.62;827.18;1408924.0;0.0;1.0;826.37;830.43;821.62;827.18;1408924.0
2017-01-10;827.07;829.41;823.14;826.01;1197442.0;0.0;1.0;827.07;829.41;823.14;826.01;1197442.0
2017-01-11;826.62;829.9;821.47;829.86;1325394.0;0.0;1.0;826.62;829.9;821.47;829.86;1325394.0
2017-01-12;828.38;830.38;821.01;829.53;1350308.0;0.0;1.0;828.38;830.38;821.01;829.53;1350308.0
2017-01-13;831.0;834.65;829.52;830.94;1290182.0;0.0;1.0;831.0;834.65;829.52;830.94;1290182.0
2017-01-17;830.0;830.18;823.2001;827.46;1440905.0;0.0;1.0;830.0;830.18;823.2001;827.46;1440905.0
